"ID (company, number)",Color,L,A,B,C,M,Y,K,R,G,B,Marking,Missing,Group
H88,,20.07,1.24,-7.48,78,70,53,54,45,48,59,274,,5
H89,,36.32,-12.78,-19.13,91,56,39,17,22,93,116,276,,5
H90,,78.85,-0.31,6.71,22,19,26,0,200,195,183,77,,5
H91,,70.72,1.1,13.5,29,28,42,0,185,171,149,128,,5
H92,,54.55,2.42,11.68,43,44,56,10,143,128,111,280,,5
H93,,46.06,-0.17,2.03,57,49,51,17,110,109,106,228,,5
H94,,59.32,-4.11,9.86,46,35,51,5,143,144,125,252,,5
H95,,29.1,-12.25,6.69,74,49,73,46,52,74,58,132,,5
H96,,30.56,-8.64,3.39,72,52,66,43,59,76,66,133,,5
H97,,29.17,-7.63,3.16,72,53,66,45,58,72,64,18,,5
H98,,52.41,9.27,35.8,34,50,85,14,157,118,63,281,,
H99,,44.22,13.02,24.54,37,59,78,24,137,96,64,282,,
BB1,,18.1,0.08,-0.39,71,65,63,65,44,44,45,Lucenta,,
BB2,,68.59,29.68,1.21,12,49,18,0,219,147,166,Sakana,,
BB3,,40.98,-12.32,10.35,67,43,70,27,82,102,79,Paisley,,
BB4,,46.81,35.13,9.76,29,76,52,10,169,86,96,Rusiline,,
BB5,,46.49,8.33,-23.33,67,60,21,3,103,107,149,Heatherbloom,,
BB6,,21.63,-0.08,-0.5,70,63,62,58,51,52,53,Resplenda,,
BB7,,71.58,-10.19,-11.12,44,17,18,0,142,182,195,Meteora,,
BB8,,21.22,-0.43,-10.54,83,71,51,49,41,52,66,Glintaline,,
B1,,53.74,12.78,19.77,34,52,63,11,161,120,95,157,,6
B2,,36.67,12.92,17.26,42,64,73,35,114,78,59,159,,6
B3,,37.11,11.4,17.06,43,62,73,34,113,80,60,156,,6
B4,,27.94,14.31,10.78,46,70,70,49,92,57,50,163,,6
B5,,38.82,-13.28,12.41,68,43,74,31,77,97,71,73,,6
B6,,33.09,-10.8,6.51,71,48,70,39,64,82,67,132,,6
B7,,33.77,-7.82,5.55,69,50,67,38,70,83,70,133,,6
B8,,29.54,-6.65,5.61,69,53,69,46,62,72,61,18,,6
B9,,29.92,0.13,4.19,62,58,64,45,73,70,64,177,,6
B10,,72.31,8.37,-4.74,26,30,17,0,189,173,186,80,,6
B11,,61.58,12.31,-15.89,41,44,13,0,158,143,177,95,,6
B12,,51.31,18.43,-20.28,51,60,16,1,138,113,157,116,,6
B13,,33.07,26.5,-19.34,65,85,31,15,104,63,109,167,,6
B14,,35.52,19.51,-14.82,65,79,37,22,96,66,100,171,,6
B15,,70.87,1.15,2.84,32,27,30,0,178,173,168,77,,6
B16,,58.78,1.69,3.19,44,40,42,4,147,140,136,128,,6
B17,,58.2,0.27,0.14,47,40,40,4,141,140,140,146,,6
B18,,49.55,-0.92,-4.35,58,47,42,10,112,119,125,170,,6
B19,,61.98,-22.98,23.02,57,21,71,3,122,160,108,106,,7
B20,,57.67,-18.27,14.71,58,28,64,6,115,147,112,144,,7
B21,,39.38,-26.37,4.18,84,38,70,25,35,104,85,39,,7
B22,,37.87,8.82,20.46,44,59,78,34,113,83,56,90,,7
B23,,36.09,10.84,12.92,46,62,69,35,108,78,65,91,,7
B24,,29.08,3.46,-24.96,91,76,34,20,46,69,107,20,,7
B25,,23.75,2.02,-13.91,84,73,46,41,47,57,77,17,,7
B26,,19.25,1.11,-6.3,77,69,55,57,44,47,56,19,,7
B27,,73.21,2.1,13.56,25,27,39,0,194,178,155,145,,7
