"ID (company, number)	",Card_Name,L_star,A_star,B_star,R,G,B
NACC140,NACC Inc 1920,33.2,14.3,13.9,104,69,57
NACC141,NACC Inc 1920,46.6,-10.9,-3.7,87,116,116
NACC142,NACC Inc 1920,33.4,26.6,8.4,119,60,67
NACC143,NACC Inc 1920,23.6,34.2,6.7,102,29,48
NACC144,NACC Inc 1920,16,6.2,-13.4,41,37,59
NACC145,NACC Inc 1920,16,6.2,-13.4,41,37,59
NACC146,NACC Inc 1920,26.7,41.3,18.3,120,25,38
NACC147,NACC Inc 1920,33.7,34.4,18.3,132,53,52
NACC148,NACC Inc 1920,14.5,5.6,-24.6,25,35,71
NACC149,NACC Inc 1920,59.2,8.3,28.4,169,137,93
NACC150,NACC Inc 1920,44.8,-15.2,3.7,79,113,99
NACC151,NACC Inc 1920,57.2,2.2,10.9,147,136,119
NACC152,NACC Inc 1920,57.7,-14.2,13.8,120,145,114
NACC153,NACC Inc 1920,37.6,-10.5,-5.8,64,94,97
NACC154,NACC Inc 1920,32.2,8.1,14.7,94,71,53
AGB1,AGB Inc 1925,69.8,7.8,24.8,196,165,126
AGB2,AGB Inc 1925,75.4,7.9,14.9,208,180,159
AGB3,AGB Inc 1925,70,13.4,24.5,206,162,127
AGB4,AGB Inc 1925,71.9,13.5,21.2,210,167,138
AGB5,AGB Inc 1925,72.4,14,28.9,215,167,125
AGB6,AGB Inc 1925,70.5,22.2,30.2,223,156,119
AGB7,AGB Inc 1925,64.7,18.4,22.5,198,144,118
AGB8,AGB Inc 1925,67,16.9,24,202,151,121
AGB9,AGB Inc 1925,72.4,4.1,37.5,202,174,108
AGB10,AGB Inc 1925,67.6,-2,52.5,182,164,64
AGB11,AGB Inc 1925,62.3,-9.5,45.4,153,154,65
AGB12,AGB Inc 1925,73.2,-6,4.5,171,183,171
AGB13,AGB Inc 1925,65.4,-8.4,-6.3,138,164,170
AGB14,AGB Inc 1925,70.5,31.7,10.8,231,150,155
AGB15,AGB Inc 1925,68.7,25.9,8.2,215,150,154
AGB16,AGB Inc 1925,60.4,26.8,6.7,193,127,135
AGB17,AGB Inc 1925,71.8,2.8,37.7,198,173,106
AGB18,AGB Inc 1925,68.8,6.4,58.5,200,162,54
AGB19,AGB Inc 1925,65.6,14.2,62.6,203,149,34
AGB20,AGB Inc 1925,69.7,21.8,19.2,216,155,137
AGB21,AGB Inc 1925,61,39.3,22.1,217,117,111
AGB22,AGB Inc 1925,55.6,53.5,19.5,219,87,103
AGB23,AGB Inc 1925,70.4,9.5,30.5,202,165,117
AGB24,AGB Inc 1925,63.8,13.6,42.4,193,145,78
AGB25,AGB Inc 1925,60.2,6.4,4.3,159,141,138
AGB26,AGB Inc 1925,58.2,5.4,0,149,137,140
AGB27,AGB Inc 1925,68.6,-14.9,7.9,143,175,152
AGB28,AGB Inc 1925,63.5,-8,2,140,158,150
AGB29,AGB Inc 1925,57.1,-22.2,-11.3,76,149,156
AGB30,AGB Inc 1925,43.3,-20.7,-17.9,25,113,131
AGB31,AGB Inc 1925,68.4,8.6,19.9,192,161,131
AGB32,AGB Inc 1925,55.4,11.2,16.4,159,125,105
AGB33,AGB Inc 1925,59.1,3.6,9,154,140,127
AGB34,AGB Inc 1925,60,7.7,10,163,140,127
AGB35,AGB Inc 1925,59.3,0.1,-7.5,138,143,156
AGB36,AGB Inc 1925,52.2,-4.1,-14,106,127,148
AGB37,AGB Inc 1925,47.8,0.1,-9.3,108,114,129
AGB38,AGB Inc 1925,45.5,3.8,-16.7,103,106,136
AGB39,AGB Inc 1925,56.2,24.8,-12.8,169,119,158
AGB40,AGB Inc 1925,43.4,22,-16.5,128,89,130
AGB41,AGB Inc 1925,56.4,20.4,11.5,174,122,116
AGB42,AGB Inc 1925,59.1,32.9,10.7,199,119,125
AGB43,AGB Inc 1925,46.3,33.9,-0.5,161,86,112
AGB44,AGB Inc 1925,50,-28.5,21,73,131,81
AGB45,AGB Inc 1925,43.1,-34.3,17.3,32,116,71
AGB46,AGB Inc 1925,38.6,-7.1,-28.7,44,96,137
AGB47,AGB Inc 1925,35.2,-1.8,-35.3,37,86,139
AGB48,AGB Inc 1925,34.5,-0.8,-28.1,53,83,126
AGB49,AGB Inc 1925,65.2,-20.3,25.8,133,168,110
AGB50,AGB Inc 1925,50.1,-33.3,32.5,68,133,60
AGB51,AGB Inc 1925,48.2,-31.6,30.1,67,128,60
AGB52,AGB Inc 1925,42.1,-26,31.2,65,110,44
AGB53,AGB Inc 1925,64.9,23.9,65.6,215,140,25
AGB54,AGB Inc 1925,52,40.5,45,196,92,48
AGB55,AGB Inc 1925,46,51.9,44.1,192,62,38
AGB56,AGB Inc 1925,38.3,48.9,36,164,45,35
AGB57,AGB Inc 1925,33.2,54.1,25.2,154,14,43
AGB58,AGB Inc 1925,38.6,58.6,26.9,175,24,52
AGB59,AGB Inc 1925,36.8,61.5,10,171,1,74
AGB60,AGB Inc 1925,30.2,48.8,10.8,137,20,57
AGB61,AGB Inc 1925,29,45.7,10.8,130,24,55
AGB62,AGB Inc 1925,36.2,21.9,7,120,71,75
AGB63,AGB Inc 1925,22.5,29.7,6.3,94,32,46
AGB64,AGB Inc 1925,28.6,22.2,17.5,103,53,42
AGB65,AGB Inc 1925,35.7,51.6,-24.8,145,37,125
AGB66,AGB Inc 1925,20.4,25.4,-23.7,71,33,85
AGB67,AGB Inc 1925,48.5,-33.7,2.7,25,130,109
AGB68,AGB Inc 1925,47.7,-34.9,2.9,10,128,107
AGB69,AGB Inc 1925,21.2,-8,-1,37,54,52
AGB70,AGB Inc 1925,29,32.3,20.9,116,44,38
AGB71,AGB Inc 1925,22.1,23.7,8.4,86,37,42
AGB72,AGB Inc 1925,33.8,0.6,-28.1,55,81,124
AGB73,AGB Inc 1925,25.3,21.4,-44.8,33,56,129
AGB74,AGB Inc 1925,18.7,12.8,-38.4,29,41,102
AGB75,AGB Inc 1925,17.8,10.6,-31.6,33,40,90
AGB76,AGB Inc 1925,31.6,14.3,-21.7,83,67,109
AGB77,AGB Inc 1925,18.6,17.4,-34.7,45,37,97
AGB78,AGB Inc 1925,25.7,-1.1,-15.7,47,62,85
AGB79,AGB Inc 1925,23.9,5.1,-24.6,46,55,94
AGB80,AGB Inc 1925,20.3,3.5,-21.1,38,48,80
AGB81,AGB Inc 1925,18.4,8.7,3.4,58,40,40
AGB82,AGB Inc 1925,18.4,7.3,2.4,56,41,42
AGB83,AGB Inc 1925,15.2,2.4,-15,32,38,59
AGB84,AGB Inc 1925,18.1,0.6,-4.4,43,44,50
RS5-1,Real Silk 5th 1925,41.4,-17.7,-3,59,106,102
RS5-2,Real Silk 5th 1925,44.6,1.4,20.5,117,104,71
RS5-3,Real Silk 5th 1925,53.6,32.2,32.1,144,126,71
RS5-4,Real Silk 5th 1925,32,6.7,6.1,88,71,66
RS5-5,Real Silk 5th 1925,32.5,4.4,-10.4,77,74,93
RS5-6,Real Silk 5th 1925,69.7,15.3,42.6,213,159,92
RS5-7,Real Silk 5th 1925,37.2,25.3,17.6,130,70,61
RS5-8,Real Silk 5th 1925,53,-0.1,18.9,136,126,94
RS5-9,Real Silk 5th 1925,69.7,15.3,42.6,213,159,92
RS5-10,Real Silk 5th 1925,0,0,0,0,0,0
RS5-11,Real Silk 5th 1925,69.7,15.3,42.6,213,159,92
RS5-12,Real Silk 5th 1925,44.6,-22,8.1,66,115,91
RS5-13,Real Silk 5th 1925,44.6,-22,8.1,66,115,91
RS5-14,Real Silk 5th 1925,76,1.3,11.7,196,186,166
RS5-15,Real Silk 5th 1925,75.5,9.4,13.3,210,179,162
RS5-16,Real Silk 5th 1925,55,-7.4,0.3,118,135,131
RS5-17,Real Silk 5th 1925,32.5,4.4,-10.4,77,74,93
RS5-18,Real Silk 5th 1925,37.2,25.3,17.6,130,70,61
RS5-19,Real Silk 5th 1925,43.7,26.7,18.9,150,85,74
RS5-20,Real Silk 5th 1925,73.8,8.8,15.8,205,175,153
RS5-21,Real Silk 5th 1925,52.6,0.3,12.5,132,125,104
RS5-22,Real Silk 5th 1925,43.7,26.7,18.9,150,85,74
RS5-23,Real Silk 5th 1925,43,6.5,-12.9,105,99,123
RS5-24,Real Silk 5th 1925,44.6,-22,8.1,66,115,91
RS5-25,Real Silk 5th 1925,42.7,-13.1,-13.2,62,108,122
RS5-26,Real Silk 5th 1925,60.5,35.1,26.9,193,130,100
RS5-27,Real Silk 5th 1925,70.2,8.2,33.1,201,165,111
RS5-28,Real Silk 5th 1925,28.4,7.6,2.4,79,63,63
RS5-29,Real Silk 5th 1925,63,-14.1,29.6,141,159,98
RS5-30,Real Silk 5th 1925,60.5,35.1,26.9,193,130,100
RS5-31,Real Silk 5th 1925,47.1,19.5,28.1,151,98,65
RS5-32,Real Silk 5th 1925,53.6,32.2,32.1,144,126,71
RS5-33,Real Silk 5th 1925,73.8,8.8,15.8,205,175,153
RS5-34,Real Silk 5th 1925,47.2,21,29.8,154,98,63
RS5-35,Real Silk 5th 1925,32,6.7,6.1,88,71,66
RS5-36,Real Silk 5th 1925,41.4,-17.7,-3,59,106,102
RS5-37,Real Silk 5th 1925,32.6,24.9,2.1,113,60,74
RS5-38,Real Silk 5th 1925,75.5,9.4,13.3,210,179,162
RS5-39,Real Silk 5th 1925,76,1.3,11.7,196,186,166
RS5-40,Real Silk 5th 1925,52.6,0.3,12.5,132,125,104
RS5-41,Real Silk 5th 1925,42.7,-13.1,-13.2,62,108,122
RS5-42,Real Silk 5th 1925,52.6,0.3,12.5,132,125,104
RS5-43,Real Silk 5th 1925,35.1,7.1,12.3,99,78,63
RS5-44,Real Silk 5th 1925,44.2,2.5,23.4,118,102,65
RS5-45,Real Silk 5th 1925,69.7,15.3,42.6,213,159,92
RS5-46,Real Silk 5th 1925,32,6.7,6.1,88,71,66
RS5-47,Real Silk 5th 1925,44.6,-22,8.1,66,115,91
RS5-48,Real Silk 5th 1925,32.5,4.4,-10.4,77,74,93
RS5-49,Real Silk 5th 1925,46.9,49.5,30.6,190,68,63
RS5-50,Real Silk 5th 1925,73.3,8.6,32.3,210,174,121
RS5-51,Real Silk 5th 1925,80.8,9.2,25.2,230,194,154
RS5-52,Real Silk 5th 1925,75,6.6,56.8,218,179,75
RS5-53,Real Silk 5th 1925,32.5,4.4,-10.4,77,74,93
RS5-54,Real Silk 5th 1925,42.7,-13.1,-13.2,62,108,122
RS5-55,Real Silk 5th 1925,47.6,-26.2,2.5,56,125,108
RS5-56,Real Silk 5th 1925,72.8,20.6,0,231,164,94
RS5-57,Real Silk 5th 1925,70.2,8.2,33.1,201,165,111
RS5-58,Real Silk 5th 1925,75,6.6,56.8,218,179,75
RS5-59,Real Silk 5th 1925,44.9,46,5.1,174,69,100
RS5-60,Real Silk 5th 1925,75,6.6,56.8,218,179,75
RS5-61,Real Silk 5th 1925,62.1,15.2,1.1,177,141,149
RS5-62,Real Silk 5th 1925,62.1,15.2,1.1,177,141,149
RS5-63,Real Silk 5th 1925,75.5,9.4,13.3,210,179,162
RS5-64,Real Silk 5th 1925,76,1.3,11.7,196,186,166
RS5-65,Real Silk 5th 1925,43,6.5,-12.9,105,99,123
RS5-66,Real Silk 5th 1925,44.6,-22,8.1,66,115,91
RS5-67,Real Silk 5th 1925,48.2,-18.2,-17.9,53,124,144
RS5-68,Real Silk 5th 1925,75.5,9.4,13.3,210,179,162
RS5-69,Real Silk 5th 1925,80.8,9.2,25.2,230,194,154
RS5-70,Real Silk 5th 1925,70.2,8.2,33.1,201,165,111
RS5-71,Real Silk 5th 1925,72.6,18.8,60.7,231,164,61
RS5-72,Real Silk 5th 1925,44.9,46,5.1,174,69,100
RS5-73,Real Silk 5th 1925,76.7,17.7,16.9,229,177,159
RS5-74,Real Silk 5th 1925,80.8,9.2,25.2,230,194,154
RS5-75,Real Silk 5th 1925,75.5,9.4,13.3,210,179,162
RS5-76,Real Silk 5th 1925,76,1.3,11.7,196,186,166
RS5-77,Real Silk 5th 1925,43,6.5,-12.9,105,99,123
RS5-78,Real Silk 5th 1925,63,-14.1,29.6,141,159,98
RS5-79,Real Silk 5th 1925,43,6.5,-12.9,105,99,123
RS5-80,Real Silk 5th 1925,72.8,20.6,0,231,164,94
RS5-81,Real Silk 5th 1925,73.3,8.6,32.3,210,174,121
RS5-82,Real Silk 5th 1925,76,1.3,11.7,196,186,166
RS5-83,Real Silk 5th 1925,54.3,-22.9,15.5,94,141,102
RS5-84,Real Silk 5th 1925,72.8,20.6,46,231,164,94
RS5-85,Real Silk 5th 1925,44.9,46,5.1,174,69,100
RS5-86,Real Silk 5th 1925,75.5,9.4,13.3,210,179,162
RS5-87,Real Silk 5th 1925,62.1,15.2,1.1,177,141,149
RS5-88,Real Silk 5th 1925,53.6,32.2,32.1,144,126,71
RS5-89,Real Silk 5th 1925,44.6,-22,8.1,66,115,91
RS5-90,Real Silk 5th 1925,75,6.6,56.8,218,179,75
RS5-91,Real Silk 5th 1925,54.3,-22.9,15.5,94,141,102
RS5-92,Real Silk 5th 1925,76,1.3,11.7,196,186,166
RS5-93,Real Silk 5th 1925,75.5,9.4,13.3,210,179,162
RS5-94,Real Silk 5th 1925,43,6.5,-12.9,132,127,101
RS5-95,Real Silk 5th 1925,72.8,20.6,46,231,164,94
RS5-96,Real Silk 5th 1925,32.5,4.4,-10.4,77,74,96
RSSS1,Real Silk Spring Summer 1925,44.1,35.3,24.7,163,78,66
RSSS2,Real Silk Spring Summer 1925,73.3,8.6,32.3,210,174,121
RSSS3,Real Silk Spring Summer 1925,80.8,9.2,25.2,230,194,154
RSSS4,Real Silk Spring Summer 1925,50.2,4.6,23.5,137,116,79
RSSS5,Real Silk Spring Summer 1925,42.7,-22.8,-2.6,47,111,104
RSSS6,Real Silk Spring Summer 1925,80.8,9.2,25.2,230,194,154
RSSS7,Real Silk Spring Summer 1925,47.2,21,29.8,154,98,63
RSSS8,Real Silk Spring Summer 1925,69.7,10.2,25,200,163,125
RSSS9,Real Silk Spring Summer 1925,64.3,19,34.9,201,142,94
RSSS10,Real Silk Spring Summer 1925,47.2,21,29.8,154,98,63
RSSS11,Real Silk Spring Summer 1925,54.8,-16,-5,94,140,139
RSSS12,Real Silk Spring Summer 1925,64.3,19,34.9,201,142,94
RSSS13,Real Silk Spring Summer 1925,52.5,5.5,11.1,140,122,107
RSSS14,Real Silk Spring Summer 1925,56.5,8.4,8.8,154,130,121
RSSS15,Real Silk Spring Summer 1925,66.2,5.3,15.4,178,157,134
RSSS16,Real Silk Spring Summer 1925,52.5,5.5,11.1,140,122,107
RSSS17,Real Silk Spring Summer 1925,42.7,-22.8,-2.6,47,111,104
RSSS18,Real Silk Spring Summer 1925,56.5,8.4,8.8,154,130,121
RSSS19,Real Silk Spring Summer 1925,42.7,-22.8,-2.6,47,111,104
RSSS20,Real Silk Spring Summer 1925,44.2,2.5,23.4,118,102,65
RSSS21,Real Silk Spring Summer 1925,61,11.5,24,177,139,105
RSSS22,Real Silk Spring Summer 1925,43,19.1,24.7,139,89,62
RSSS23,Real Silk Spring Summer 1925,39.6,7.6,-8.5,101,89,107
RSSS24,Real Silk Spring Summer 1925,64.3,19.1,34.9,201,142,94
RSSS25,Real Silk Spring Summer 1925,43.7,26.7,18.9,150,85,74
RSSS26,Real Silk Spring Summer 1925,43.7,26.7,18.9,150,85,74
RSSS27,Real Silk Spring Summer 1925,38.2,-3.4,7.6,88,91,77
RSSS28,Real Silk Spring Summer 1925,26.3,3.7,3.7,70,60,57
RSSS29,Real Silk Spring Summer 1925,52.5,5.5,11.1,140,122,107
RSSS30,Real Silk Spring Summer 1925,42.7,-22.8,-2.6,47,111,104
RSSS31,Real Silk Spring Summer 1925,44,-18.6,-4.4,61,113,111
RSSS32,Real Silk Spring Summer 1925,44.6,1.4,20.5,117,104,71
RSSS33,Real Silk Spring Summer 1925,44.6,35.1,26.9,193,130,100
RSSS34,Real Silk Spring Summer 1925,44.6,7.9,19.7,126,100,73
RSSS35,Real Silk Spring Summer 1925,44.6,26.7,18.9,150,85,74
RSSS36,Real Silk Spring Summer 1925,44.6,1.4,20.5,117,104,71
RSSS37,Real Silk Spring Summer 1925,64.3,19,34.9,201,142,94
RSSS38,Real Silk Spring Summer 1925,80.8,9.2,25.2,230,194,154
RSSS39,Real Silk Spring Summer 1925,73.3,8.6,32.3,210,174,121
RSSS40,Real Silk Spring Summer 1925,64.3,19,34.9,201,142,94
RSSS41,Real Silk Spring Summer 1925,29.6,12.4,-15.7,80,64,94
RSSS42,Real Silk Spring Summer 1925,44,-18.6,-4.4,61,113,111
RSSS43,Real Silk Spring Summer 1925,37.2,-1.2,15.8,74,89,113
RSSS44,Real Silk Spring Summer 1925,37.2,-1.2,15.8,74,89,113
RSSS45,Real Silk Spring Summer 1925,53.6,32.2,32.1,144,126,71
RSSS46,Real Silk Spring Summer 1925,32,6.7,6.1,88,71,66
RSSS47,Real Silk Spring Summer 1925,64.3,19.1,34.9,201,142,94
RSSS48,Real Silk Spring Summer 1925,44.9,46,5.1,174,69,100
RSSS49,Real Silk Spring Summer 1925,72,4.9,51.7,206,172,78
RSSS50,Real Silk Spring Summer 1925,72,4.9,51.7,206,172,78
RSSS51,Real Silk Spring Summer 1925,80.8,9.2,25.2,230,194,154
RSSS52,Real Silk Spring Summer 1925,100,0,0,255,255,255
RSSS53,Real Silk Spring Summer 1925,0,0,0,0,0,0
RSSS54,Real Silk Spring Summer 1925,0,0,0,0,0,0
RSSS55,Real Silk Spring Summer 1925,54.9,-8.9,-4.2,111,136,138
RSSS56,Real Silk Spring Summer 1925,42.2,-22.4,4.7,61,115,96
RSSS57,Real Silk Spring Summer 1925,42.2,-22.4,4.7,61,115,96
RSSS58,Real Silk Spring Summer 1925,62,29.1,36.9,209,128,86
RSSS59,Real Silk Spring Summer 1925,45.8,21,28,150,94,62
RSSS60,Real Silk Spring Summer 1925,44.4,7.9,19.7,126,100,73
RSSS61,Real Silk Spring Summer 1925,43,46.4,24.7,174,62,64
RSSS62,Real Silk Spring Summer 1925,43,46.4,24.7,174,62,64
RSSS63,Real Silk Spring Summer 1925,37.3,2.2,10.1,96,86,72
RSSS64,Real Silk Spring Summer 1925,0,0,0,0,0,0
RSSS65,Real Silk Spring Summer 1925,59,1.7,12.1,151,140,121
RSSS66,Real Silk Spring Summer 1925,42.2,-22.4,4.7,61,115,96
RSSS67,Real Silk Spring Summer 1925,44.6,1.4,20.5,117,104,71
RSSS68,Real Silk Spring Summer 1925,61,11.5,24,177,139,105
RSSS69,Real Silk Spring Summer 1925,52,8.5,15.4,145,118,98
RSSS70,Real Silk Spring Summer 1925,44.6,1.4,20.5,117,104,71
RSSS71,Real Silk Spring Summer 1925,44.9,46,5.1,174,69,100
RSSS72,Real Silk Spring Summer 1925,54.8,-16,-5,94,140,139
RSSS73,Real Silk Spring Summer 1925,39.6,7.6,-8.5,101,89,107
RSSS74,Real Silk Spring Summer 1925,50,19,29.4,159,106,70
RSSS75,Real Silk Spring Summer 1925,59,1.7,12.1,151,140,121
RSSS76,Real Silk Spring Summer 1925,44.2,2.5,7.7,113,103,92
RSSS77,Real Silk Spring Summer 1925,42.2,-22.4,4.7,61,115,96
RSSS78,Real Silk Spring Summer 1925,59,1.7,12.1,151,140,121
RSSS79,Real Silk Spring Summer 1925,54.8,-16,-5,94,140,139
RSSS80,Real Silk Spring Summer 1925,54.8,-16,-5,94,140,139
RSSS81,Real Silk Spring Summer 1925,45.8,16.4,23.2,143,98,70
RSSS82,Real Silk Spring Summer 1925,41.6,10.1,18.5,121,92,68
RSSS83,Real Silk Spring Summer 1925,80.8,9.2,25.2,230,194,154
RSSS84,Real Silk Spring Summer 1925,50,19,29.4,159,106,70
RSSS85,Real Silk Spring Summer 1925,70.6,0.03,25.3,186,172,127
RSSS86,Real Silk Spring Summer 1925,70.6,0.03,25.3,186,172,127
RSSS87,Real Silk Spring Summer 1925,73.8,8.8,15.8,205,175,153
RSSS88,Real Silk Spring Summer 1925,0,0,0,0,0,0
RSSS89,Real Silk Spring Summer 1925,0,0,0,0,0,0
RSSS90,Real Silk Spring Summer 1925,66.7,15.7,11.2,195,152,143
RSSS91,Real Silk Spring Summer 1925,50,19,29.4,159,106,70
RSSS92,Real Silk Spring Summer 1925,0,0,0,0,0,0
RSSS93,Real Silk Spring Summer 1925,76.7,17.7,16.9,229,177,159
RSSS94,Real Silk Spring Summer 1925,60.5,35.1,26.9,193,130,100
RSSS95,Real Silk Spring Summer 1925,0,0,0,0,0,0
RSSS96,Real Silk Spring Summer 1925,0,0,0,0,0,0
RSSS97,Real Silk Spring Summer 1925,60.3,-14.3,19,129,152,111
RSSS98,Real Silk Spring Summer 1925,44.9,46,5.1,174,69,100
RSSS99,Real Silk Spring Summer 1925,66.7,15.7,11.2,195,152,143
RSSS100,Real Silk Spring Summer 1925,66.7,15.7,11.2,195,152,143
RSSS101,Real Silk Spring Summer 1925,69.7,10.2,25,200,163,125
RSSS102,Real Silk Spring Summer 1925,50.2,4.6,23.5,137,116,79
RSSS103,Real Silk Spring Summer 1925,69.7,10.2,25,200,163,125
RSSS104,Real Silk Spring Summer 1925,60.3,-14.3,19,129,152,111
RSSS105,Real Silk Spring Summer 1925,44.9,46,5.1,174,69,100
RSSS106,Real Silk Spring Summer 1925,73.8,8.8,15.8,205,175,153
RSSS107,Real Silk Spring Summer 1925,76.7,17.7,16.9,229,177,159
RSSS108,Real Silk Spring Summer 1925,75,606,56.8,218,179,75
RSSS109,Real Silk Spring Summer 1925,70.6,0.3,25.3,186,172,127
RSSS110,Real Silk Spring Summer 1925,66.7,15.7,11.2,195,152,143
RSSS111,Real Silk Spring Summer 1925,60.3,-14.3,19,129,152,111
RSSS112,Real Silk Spring Summer 1925,70.6,0.3,25.3,186,172,127
RSSS113,Real Silk Spring Summer 1925,73.3,8.6,32.3,210,174,121
RSSS114,Real Silk Spring Summer 1925,64.3,19.1,34.9,201,142,94
RSSS115,Real Silk Spring Summer 1925,44.1,35.3,24.7,163,78,66
RSSS116,Real Silk Spring Summer 1925,73.3,8.6,32.3,210,174,121
RSSS117,Real Silk Spring Summer 1925,65,30.3,36.5,220,136,94
RSSS118,Real Silk Spring Summer 1925,62,29,36.9,209,128,86
RSSS119,Real Silk Spring Summer 1925,69.7,10.2,25,200,163,125
RSSS120,Real Silk Spring Summer 1925,66.2,5.3,15.4,178,157,134
RSSS121,Real Silk Spring Summer 1925,54.9,-8.9,-4.2,111,136,138
RSSS122,Real Silk Spring Summer 1925,70.6,0.3,25.3,186,172,127
RSSS123,Real Silk Spring Summer 1925,54.9,-8.9,-4.2,111,136,138
RSSS124,Real Silk Spring Summer 1925,73.3,8.6,32.3,210,174,121
RSSS125,Real Silk Spring Summer 1925,73.8,8.8,15.8,205,175,153
RSSS126,Real Silk Spring Summer 1925,60.5,35.1,26.9,193,130,100
RSSS127,Real Silk Spring Summer 1925,65,30.3,36.5,220,136,94
RSSS128,Real Silk Spring Summer 1925,66.7,15.7,11.2,195,152,143
RSSS129,Real Silk Spring Summer 1925,57.1,30.7,16.6,192,115,110
RSSS130,Real Silk Spring Summer 1925,57.1,30.7,16.6,192,115,110
RSSS131,Real Silk Spring Summer 1925,73.3,8.6,32.3,210,174,121
RSSS132,Real Silk Spring Summer 1925,66.2,5.3,15.4,178,157,134
RSSS133,Real Silk Spring Summer 1925,54.8,-16,-5,94,140,139
RSSS134,Real Silk Spring Summer 1925,66.2,5.3,15.4,178,157,134
RSSS135,Real Silk Spring Summer 1925,73.3,8.6,32.3,210,174,121
RSSS136,Real Silk Spring Summer 1925,73.3,8.6,32.3,210,174,121
RSSS137,Real Silk Spring Summer 1925,76.7,17.7,16.9,229,177,159
RSSS138,Real Silk Spring Summer 1925,66.2,5.3,15.4,178,157,134
RSSS139,Real Silk Spring Summer 1925,43,46.4,24.7,174,62,64
RSSS140,Real Silk Spring Summer 1925,66.2,5.3,15.4,178,157,134
RSS1,Real Silk Summer 1925,39.1,35.9,-22.8,149,65,57
RSS2,Real Silk Summer 1925,72.9,7.8,34.1,208,173,116
RSS3,Real Silk Summer 1925,74.4,7.1,33.8,211,177,121
RSS4,Real Silk Summer 1925,52,-4.9,19.8,125,126,90
RSS5,Real Silk Summer 1925,45.4,-23.1,-3.6,52,118,84
RSS6,Real Silk Summer 1925,72.9,7.8,34.1,208,173,116
RSS7,Real Silk Summer 1925,50.9,11,21.8,148,114,84
RSS8,Real Silk Summer 1925,72.5,8.1,34.5,208,171,114
RSS9,Real Silk Summer 1925,66.7,15.2,39.3,203,151,91
RSS10,Real Silk Summer 1925,50.9,11,21.8,148,114,84
RSS11,Real Silk Summer 1925,60.9,-16.9,-8.4,106,156,161
RSS12,Real Silk Summer 1925,66.7,15.2,39.3,203,151,91
RSS13,Real Silk Summer 1925,47.7,0.7,11.9,120,112,84
RSS14,Real Silk Summer 1925,57.1,10.9,6.1,159,130,84
RSS15,Real Silk Summer 1925,65.4,2.7,14.7,171,157,133
RSS16,Real Silk Summer 1925,47.7,0.7,11.9,120,112,84
RSS17,Real Silk Summer 1925,45.4,-23.1,-3.6,52,118,84
RSS18,Real Silk Summer 1925,47.7,0.7,11.9,120,112,84
RSS19,Real Silk Summer 1925,45.4,-23.1,-3.6,52,118,84
RSS20,Real Silk Summer 1925,46.6,24.9,65.2,136,103,84
RSS21,Real Silk Summer 1925,63.8,9.2,24.3,181,148,84
RSS22,Real Silk Summer 1925,40.5,22.8,46.3,126,85,84
RSS23,Real Silk Summer 1925,39.5,12.8,-8.3,109,86,107
RSS24,Real Silk Summer 1925,66.7,15.2,39.3,203,151,91
RSS25,Real Silk Summer 1925,51.5,19.9,21.3,163,109,84
RSS26,Real Silk Summer 1925,51.5,19.9,21.3,163,109,84
RSS27,Real Silk Summer 1925,42.4,-8,8,91,104,84
RSS28,Real Silk Summer 1925,33.2,2.8,30.8,83,77,84
RSS29,Real Silk Summer 1925,47.7,0.7,11.9,120,112,84
RSS30,Real Silk Summer 1925,40.5,-20.1,-10.7,38,105,84
RSS31,Real Silk Summer 1925,40.5,-20.1,-10.7,38,105,84
RSS32,Real Silk Summer 1925,57.9,9.2,24.5,165,133,84
RSS33,Real Silk Summer 1925,49.4,25.3,39.1,155,104,84
RSS34,Real Silk Summer 1925,45.8,2.9,18.6,121,106,84
RSS35,Real Silk Summer 1925,49.4,25.3,39.1,155,104,84
RSS36,Real Silk Summer 1925,57.9,9.2,24.5,165,133,84
RSS37,Real Silk Summer 1925,66.7,15.2,39.3,203,151,91
RSS38,Real Silk Summer 1925,74.4,7.1,33.8,211,177,84
RSS39,Real Silk Summer 1925,72.9,7.8,34.1,208,173,84
RSS40,Real Silk Summer 1925,70.4,16.5,38.5,216,160,84
RSS41,Real Silk Summer 1925,39.5,12.8,-8.3,109,86,107
RSS42,Real Silk Summer 1925,40.5,-20.1,-10.7,38,105,84
RSS43,Real Silk Summer 1925,34.4,-9.1,-21.3,40,86,84
RSS44,Real Silk Summer 1925,34.4,-9.1,-21.3,40,86,84
RSS45,Real Silk Summer 1925,50.1,12.7,73.1,131,117,84
RSS46,Real Silk Summer 1925,35.3,28.4,17.3,128,63,84
RSS47,Real Silk Summer 1925,66.7,15.2,39.3,203,151,91
RSS48,Real Silk Summer 1925,54.5,27.7,-10,174,112,133
RSS49,Real Silk Summer 1925,77.3,2,54.1,217,188,84
RSS50,Real Silk Summer 1925,77.3,2,54.1,217,188,84
RSS51,Real Silk Summer 1925,66.7,15.2,39.3,203,151,91
RSS52,Real Silk Summer 1925,100,0,0,255,255,255
RSS53,Real Silk Summer 1925,0,0,0,0,0,0
RSS54,Real Silk Summer 1925,0,0,0,0,0,0
RSS55,Real Silk Summer 1925,60.9,-16.9,-8.4,106,156,161
RSS56,Real Silk Summer 1925,44.9,-25.1,3.9,54,118,99
