"ID (company, number)	",Card_Name,L_star,A_star,B_star,R,G,B
H56,A.G. Hyde and Sons 1910s,26.87,-4.21,-24.98,8,67,101
H57,A.G. Hyde and Sons 1910s,60.65,12.57,27.42,183,137,99
H58,A.G. Hyde and Sons 1910s,39.53,12.61,18.58,122,85,64
H59,A.G. Hyde and Sons 1910s,42.15,7.87,25.13,124,94,58
H60,A.G. Hyde and Sons 1910s,43.72,5.54,17.01,122,99,75
H61,A.G. Hyde and Sons 1910s,33.57,8.28,20.65,101,73,47
H62,A.G. Hyde and Sons 1910s,33.16,12.26,15.64,104,70,54
H63,A.G. Hyde and Sons 1910s,27.23,10.71,11.94,86,58,47
H64,A.G. Hyde and Sons 1910s,23.2,8.42,6.33,71,51,46
H65,A.G. Hyde and Sons 1910s,60.36,-6.07,9.41,141,148,129
H66,A.G. Hyde and Sons 1910s,58.48,-7.62,9.08,121,131,112
H67,A.G. Hyde and Sons 1910s,76.43,-0.14,30.36,208,187,132
H68,A.G. Hyde and Sons 1910s,68.38,4.42,21.48,189,163,128
H69,A.G. Hyde and Sons 1910s,73.45,3.75,18.01,200,177,148
H70,A.G. Hyde and Sons 1910s,68.09,3.93,16.03,184,163,137
H71,A.G. Hyde and Sons 1910s,73.56,0.72,21.93,197,179,141
H72,A.G. Hyde and Sons 1910s,59.19,2.05,22.5,160,140,103
H73,A.G. Hyde and Sons 1910s,72.88,2.57,14.92,194,176,152
H74,A.G. Hyde and Sons 1910s,56.84,3.84,15.34,153,133,110
H75,A.G. Hyde and Sons 1910s,50.11,7.84,9.68,139,114,103
H76,A.G. Hyde and Sons 1910s,50.16,2.9,16.43,134,117,92
H77,A.G. Hyde and Sons 1910s,49.03,-9.7,21.18,113,120,80
H78,A.G. Hyde and Sons 1910s,43.68,-10.69,21.73,98,107,67
H79,A.G. Hyde and Sons 1910s,46.45,-9.41,9.64,100,114,94
H80,A.G. Hyde and Sons 1910s,47.62,-23.04,-4.02,55,124,119
H81,A.G. Hyde and Sons 1910s,19.88,1.46,3.42,52,47,43
H82,A.G. Hyde and Sons 1910s,20.07,1.24,-7.48,45,48,59
H83,A.G. Hyde and Sons 1910s,36.32,-12.78,-19.13,22,93,116
H84,A.G. Hyde and Sons 1910s,78.85,-0.31,6.71,200,195,183
H85,A.G. Hyde and Sons 1910s,70.72,1.1,13.5,185,171,149
H86,A.G. Hyde and Sons 1910s,54.55,2.42,11.68,143,128,111
H87,A.G. Hyde and Sons 1910s,46.06,-0.17,2.03,110,109,106
H88,A.G. Hyde and Sons 1910s,59.32,-4.11,9.86,143,144,125
H89,A.G. Hyde and Sons 1910s,29.1,-12.25,6.69,52,74,58
H90,A.G. Hyde and Sons 1910s,30.56,-8.64,3.39,59,76,66
H91,A.G. Hyde and Sons 1910s,29.17,-7.63,3.16,58,72,64
H92,A.G. Hyde and Sons 1910s,52.41,9.27,35.8,157,118,63
H93,A.G. Hyde and Sons 1910s,44.22,13.02,24.54,137,96,64
BD1,"Brown, Durrell & Co. 1910s",18.1,0.08,-0.39,44,44,45
